Date,Open,High,Low,Close,Volume,Name
2015-01-27,2779.85,2819.9,2760.5,2816.65,494122,TECHM
2015-01-28,2806.3,2885.0,2806.3,2873.35,594657,TECHM
2015-01-29,2878.0,2930.0,2875.0,2904.4,945040,TECHM
2015-01-30,2931.0,2991.5,2837.15,2868.5,1175968,TECHM
2015-02-02,2972.0,2995.1,2872.15,2895.05,1951500,TECHM
2015-02-03,2919.0,2925.0,2870.0,2919.15,609226,TECHM
2015-02-04,2925.0,2925.0,2840.1,2852.25,437862,TECHM
2015-02-05,2851.1,2900.95,2845.0,2867.75,400696,TECHM
2015-02-06,2870.0,2920.95,2849.95,2860.35,427819,TECHM
2015-02-09,2840.0,2874.0,2811.1,2820.45,338991,TECHM
2015-02-10,2805.0,2806.6,2748.5,2762.5,712098,TECHM
2015-02-11,2770.0,2858.0,2769.85,2841.75,721322,TECHM
2015-02-12,2860.0,2915.0,2845.6,2909.3,349739,TECHM
2015-02-13,2920.0,2922.4,2882.3,2886.55,341872,TECHM
2015-02-16,2895.0,2947.95,2891.75,2899.55,434838,TECHM
2015-02-18,2879.0,2915.0,2857.0,2892.25,1161482,TECHM
2015-02-19,2900.0,2900.0,2825.1,2830.15,749152,TECHM
2015-02-20,2810.0,2826.35,2794.25,2810.2,388902,TECHM
2015-02-23,2810.0,2842.0,2762.3,2778.75,538128,TECHM
2015-02-24,2790.05,2808.05,2781.0,2791.3,436577,TECHM
2015-02-25,2805.0,2808.0,2752.2,2762.55,656077,TECHM
2015-02-26,2774.8,2774.8,2740.0,2748.1,1065119,TECHM
2015-02-27,2752.95,2850.0,2741.7,2835.75,527367,TECHM
2015-02-28,2856.4,2870.0,2801.4,2863.3,204608,TECHM
2015-03-02,2878.8,2895.0,2848.85,2860.05,410041,TECHM
2015-03-03,2882.0,2913.6,2835.05,2908.5,503458,TECHM
2015-03-04,2910.0,2939.0,2865.6,2879.5,550130,TECHM
2015-03-05,2880.0,2912.8,2851.1,2878.15,431261,TECHM
2015-03-09,2862.0,2862.0,2781.0,2811.35,642487,TECHM
2015-03-10,2753.45,2846.0,2753.45,2839.8,628315,TECHM
2015-03-11,2840.1,2943.75,2815.0,2921.65,1255021,TECHM
2015-03-12,2938.35,2940.05,2852.25,2857.0,1110916,TECHM
2015-03-13,2878.0,2878.0,2808.0,2818.4,709996,TECHM
2015-03-16,2838.0,2840.45,2815.0,2827.95,1175512,TECHM
2015-03-17,2844.0,2881.8,2830.9,2862.9,1286007,TECHM
2015-03-18,2874.0,2880.0,2790.0,2800.5,3806886,TECHM
2015-03-19,695.0,700.9,685.0,687.15,5621879,TECHM
2015-03-20,688.95,690.0,673.0,678.3,3616042,TECHM
2015-03-23,684.0,685.45,650.2,656.8,3672301,TECHM
2015-03-24,661.0,667.5,652.0,659.65,3793847,TECHM
2015-03-25,663.0,663.0,651.0,656.35,3053431,TECHM
2015-03-26,656.0,665.0,648.15,651.15,3774322,TECHM
2015-03-27,654.0,661.4,639.0,645.9,3223159,TECHM
2015-03-30,647.9,652.75,618.65,626.95,3887546,TECHM
2015-03-31,633.1,639.6,626.5,629.7,3125329,TECHM
2015-04-01,630.5,638.7,629.0,632.7,4892589,TECHM
2015-04-06,635.1,647.5,635.1,643.35,5050758,TECHM
2015-04-07,646.35,656.0,644.95,652.85,1922672,TECHM
2015-04-08,656.95,676.0,656.0,672.3,3505745,TECHM
2015-04-09,679.9,680.6,662.8,670.4,1882337,TECHM
2015-04-10,670.8,673.45,655.0,660.2,1675314,TECHM
2015-04-13,664.7,674.4,650.65,664.4,1357726,TECHM
2015-04-15,664.4,671.65,656.0,659.85,3785304,TECHM
2015-04-16,662.7,664.25,644.5,656.05,1850395,TECHM
2015-04-17,652.0,653.0,634.15,641.05,2224178,TECHM
2015-04-20,641.0,641.0,622.5,632.3,2301636,TECHM
2015-04-21,624.05,644.25,622.0,637.5,1504719,TECHM
2015-04-22,635.0,635.9,622.6,629.8,3464944,TECHM
2015-04-23,632.3,637.3,611.15,615.2,3887545,TECHM
2015-04-24,611.7,614.7,578.1,587.5,3375425,TECHM
2015-04-27,591.1,596.45,565.1,587.25,4643882,TECHM
2015-04-28,587.9,612.0,580.0,608.6,1776573,TECHM
2015-04-29,608.0,626.85,602.1,616.9,1729917,TECHM
2015-04-30,616.0,625.8,598.3,621.35,2983762,TECHM
2015-05-04,622.9,624.85,603.0,611.75,2859253,TECHM
2015-05-05,617.0,620.0,604.85,609.95,2826920,TECHM
2015-05-06,612.0,616.35,600.0,608.9,3148933,TECHM
2015-05-07,602.0,618.0,600.0,614.25,1954517,TECHM
2015-05-08,622.0,624.9,616.0,621.4,1400231,TECHM
2015-05-11,625.0,639.9,618.0,631.3,2019842,TECHM
2015-05-12,633.0,638.8,612.05,616.2,2539734,TECHM
2015-05-13,620.95,622.0,611.05,616.35,2839628,TECHM
2015-05-14,615.0,617.45,606.7,615.45,1443799,TECHM
2015-05-15,612.55,621.95,612.1,618.35,1245727,TECHM
2015-05-18,616.4,621.0,605.0,612.6,2241358,TECHM
2015-05-19,612.0,623.95,609.3,619.25,1760702,TECHM
2015-05-20,620.95,643.0,620.95,640.8,2353164,TECHM
2015-05-21,643.15,659.5,641.0,655.6,2427489,TECHM
2015-05-22,654.9,669.0,648.0,667.05,1589768,TECHM
2015-05-25,664.85,668.9,630.65,648.45,1795055,TECHM
2015-05-26,630.0,653.75,629.0,640.25,2608856,TECHM
2015-05-27,576.25,578.6,545.1,549.1,22929044,TECHM
