Date,Open,High,Low,Close,Adj Close,Volume
2014-06-02,22506,23130,22506,23009.15039,22778.59766,5101
2014-06-03,22985,23300,22950,23198.44922,22965.99219,3628
2014-06-04,23189.40039,23300.05078,23055.09961,23142.40039,22910.50586,2060
2014-06-05,23012,23921.65039,23012,23848.40039,23609.42969,7363
2014-06-06,23900.05078,24548,23900.05078,24340.19922,24096.30664,9635
2014-06-09,24150,24635,24122,24585.90039,24339.54297,4142
2014-06-10,24560,24634.65039,24192.94922,24242.75,23999.83398,6130
2014-06-11,24265.05078,24599,23655,23785.30078,23546.9668,7476
2014-06-12,23784,24085,23705.59961,23866.94922,23627.79688,2877
2014-06-13,23800,24079.15039,23200,23279.05078,23045.79297,5082
2014-06-16,23250,23410,22448.94922,22804.59961,22576.09375,6487
2014-06-17,22801.69922,23550,22801.69922,23469.30078,23234.13672,5179
2014-06-18,23400,23888,23400,23483.90039,23248.58398,5118
2014-06-19,23332,23749.94922,23200,23312.15039,23078.5625,2692
2014-06-20,23263,23500,23110.05078,23180.5,22948.22266,1916
2014-06-23,23300,23697.94922,23250,23610.90039,23374.31445,4893
2014-06-24,23601,24048,23601,23798.05078,23559.58398,5502
2014-06-25,23521,23950,23406,23490.59961,23255.2168,5333
2014-06-26,23580,23687,22986.94922,23159.09961,22927.04102,10634
2014-06-27,23340,23550,23110.5,23176.30078,22944.07031,5171
2014-06-30,23199.59961,23670,23199.59961,23611.59961,23375.00391,3791
2014-07-01,23699.80078,23775,23500,23649.75,23412.77344,2941
2014-07-02,23750,24034.5,23658.84961,23866.05078,23626.91016,8725
2014-07-03,23875,24049,23550,23732.40039,23494.59961,3469
2014-07-04,23970,23970,23572.59961,23742.44922,23504.54688,3614
2014-07-07,23750,23859.94922,23540,23620.84961,23384.16406,2195
2014-07-08,23750,23750,22766,22957.75,22727.70703,4275
2014-07-09,23001,23250,22651.05078,22833.59961,22604.79883,4559
2014-07-10,22801.25,23132.80078,22050,22445.05078,22220.14648,10259
2014-07-11,22500,22660,21360.05078,21617.09961,21400.49219,7696
2014-07-14,21617.09961,21899,21001,21513.90039,21298.33008,4221
2014-07-15,21655,21988,21610,21906.75,21687.23828,3130
2014-07-16,22460,22924.15039,21625,22821.30078,22592.625,10086
2014-07-17,22700,23350.09961,22700,23288.55078,23055.19336,7536
2014-07-18,23099,23474.94922,22880,23311.65039,23078.06445,6292
2014-07-21,23335.09961,23549,23130.05078,23211.84961,22979.26563,3476
2014-07-22,23399,23399,22905,22992.05078,22761.66406,4349
2014-07-23,22999,24768.65039,22450,24332.30078,24088.49023,59158
2014-07-24,24499,24680.65039,23701.19922,23858.09961,23619.0332,19603
2014-07-25,24089,24089,23336.59961,23719.69922,23482.02344,5951
2014-07-28,23725,23990,23500,23594.44922,23358.02734,3640
2014-07-30,23551,23749,23312,23584.65039,23348.32617,3682
2014-07-31,23600,23675,23255.75,23337.19922,23103.35742,4987
2014-08-01,23265,23950,22999.94922,23324.15039,23090.43555,9108
2014-08-04,23280.09961,23750,23280.09961,23694.55078,23457.12695,4992
2014-08-05,23626,23899,23500,23788.40039,23550.03711,3552
2014-08-06,23555.19922,23868.94922,23430,23524.25,23291.46875,6894
2014-08-07,23484.25,23685,23350.05078,23585.05078,23351.66797,4190
2014-08-08,23504,23749.84961,23360,23434.34961,23202.45508,2867
